 DonateButtonManager props  Object
 A preload for 'https://odrviewer.io/viewer.wasm' is found, but is not used because the request credentials mode does not match. Consider taking a look at crossorigin attribute.
instantiateAsync @ viewer.js:1
 [WARN] Road #359: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #360: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #361: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #362: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #363: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #364: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #365: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #366: planView::geometry::s -0.500000 < 0, set s=0
 [WARN] Road #368: planView::geometry::s -0.152938 < 0, set s=0
 [WARN] Road #369: planView::geometry::s -2.167089 < 0, set s=0
 [WARN] Road #370: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #371: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #372: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #373: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #374: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #375: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #376: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #377: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #378: planView::geometry::s -2.627416 < 0, set s=0
 [WARN] Road #379: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #380: planView::geometry::s -6.404936 < 0, set s=0
 [WARN] Road #381: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #382: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #383: planView::geometry::s -0.304332 < 0, set s=0
 [WARN] Road #385: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #386: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #387: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #388: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #389: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #390: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #391: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #392: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #393: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #394: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #395: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #396: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #397: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #398: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #399: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #400: planView::geometry::s -0.492653 < 0, set s=0
 [WARN] Road #401: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #402: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #403: planView::geometry::s -1.152082 < 0, set s=0
 [WARN] Road #404: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #405: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #406: planView::geometry::s -7.000000 < 0, set s=0
 [WARN] Road #407: planView::geometry::s -2.154437 < 0, set s=0
 [WARN] Road #408: planView::geometry::s -1.675294 < 0, set s=0
 [WARN] Road #409: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #410: planView::geometry::s -2.829846 < 0, set s=0
 [WARN] Road #411: planView::geometry::s -0.166788 < 0, set s=0
 [WARN] Road #412: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #414: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #415: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #416: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #417: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #419: planView::geometry::s -1.688030 < 0, set s=0
 [WARN] Road #420: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #421: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #422: planView::geometry::s -1.395499 < 0, set s=0
 [WARN] Road #423: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #424: planView::geometry::s -2.890094 < 0, set s=0
 [WARN] Road #425: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #426: planView::geometry::s -1.330968 < 0, set s=0
 [WARN] Road #429: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #431: planView::geometry::s -2.656744 < 0, set s=0
 [WARN] Road #432: planView::geometry::s -1.914357 < 0, set s=0
 [WARN] Road #433: planView::geometry::s -2.509856 < 0, set s=0
 [WARN] Road #434: planView::geometry::s -1.977113 < 0, set s=0
 [WARN] Road #435: planView::geometry::s -1.076387 < 0, set s=0
 [WARN] Road #436: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #437: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #438: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #439: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #440: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #441: planView::geometry::s -1.727215 < 0, set s=0
 [WARN] Road #442: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #443: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #444: planView::geometry::s -2.429502 < 0, set s=0
 [WARN] Road #445: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #446: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #447: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #449: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #451: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #452: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #454: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #456: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #457: planView::geometry::s -2.240144 < 0, set s=0
 [WARN] Road #459: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #460: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #461: planView::geometry::s -1.703462 < 0, set s=0
 [WARN] Road #462: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #463: planView::geometry::s -1.716727 < 0, set s=0
 [WARN] Road #464: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #465: planView::geometry::s -3.000000 < 0, set s=0
